address,name
0x532FF8,dword_532FF8
0x532FFC,dword_532FFC
0x533000,dword_533000
0x533004,dword_533004
0x533008,??_7BoundingSphere@@6B@
0x53300C,dword_53300C
0x533010,dword_533010
0x533014,dword_533014
0x533018,dword_533018
0x53301C,??_7BoundingVolume@@6B@
0x533020,dword_533020
0x533024,dword_533024
0x533028,dword_533028
0x53302C,aGold
0x533032,word_533032
0x533034,aSilver
0x53303C,aBronze
0x533044,aMedal
0x53304B,byte_53304B
0x53304C,asc_53304C
0x53304F,byte_53304F
0x533050,asc_533050
0x533057,byte_533057
0x533058,asc_533058
0x53305B,byte_53305B
0x53305C,asc_53305C
0x53305E,word_53305E
0x533060,aS_1
0x533063,byte_533063
0x533064,aQ2
0x533068,aQ1
0x53306C,aDataBinStation
0x533082,word_533082
0x533084,aDataBinCollisi
0x53309B,byte_53309B
0x53309C,aDataBinWreckCo
0x5330BA,word_5330BA
0x5330BC,aDataBinAgentsB
0x5330D0,aDataBinSystems
0x5330E5,unk_5330E5
0x5330E8,aDataBinItemsBi
0x5330FB,byte_5330FB
0x5330FC,aDataBinShipsBi
0x53310F,byte_53310F
0x533110,aNamesTerran0MB
0x533125,unk_533125
0x533128,aNamesTerran0WB
0x53313D,unk_53313D
0x533140,aNamesTerran1Bi
0x533153,byte_533153
0x533154,aNamesVossk0Bin
0x533166,word_533166
0x533168,aNamesVossk1Bin
0x53317A,word_53317A
0x53317C,aNamesNivelian0
0x533191,unk_533191
0x533194,aNamesNivelian1
0x5331A9,unk_5331A9
0x5331AC,aNamesMultipod0
0x5331C1,unk_5331C1
0x5331C4,aNamesMultipod1
0x5331D9,unk_5331D9
0x5331DC,aNamesCyborg0Bi
0x5331EF,byte_5331EF
0x5331F0,aNamesBobolan0B
0x533204,aNamesBobolan1B
0x533218,aNamesGrey0Bin
0x533229,unk_533229
0x53322C,aDataBin
0x533236,word_533236
0x533238,aDataBinTickerB
0x53324C,aDataBinWeapons
0x533261,unk_533261
0x533264,aDataBinDocksBi
0x533277,byte_533277
0x533278,aDataAssetsMain
0x53328F,byte_53328F
0x533290,a754753835
0x53329A,word_53329A
0x53329C,a448366639
0x5332A6,word_5332A6
0x5332A8,a373352623
0x5332B2,word_5332B2
0x5332B4,aDataAssetsMain_0
0x5332EB,byte_5332EB
0x5332EC,aDataTexturesLe
0x53330B,byte_53330B
0x53330C,aDataTexturesLe_0
0x53332B,byte_53332B
0x53332C,aDataTexturesLe_1
0x53334B,byte_53334B
0x53334C,aDataAssetsMain_1
0x533387,byte_533387
0x533388,aDataAssetsMain_2
0x5333C3,byte_5333C3
0x5333C4,aDataAssetsMain_3
0x5333FE,word_5333FE
0x533400,aDataAssetsMain_4
0x533439,unk_533439
0x53343C,aDataAssetsMain_5
0x533474,aDataAssetsMain_6
0x5334AB,byte_5334AB
0x5334AC,aDataAssetsMain_7
0x5334E3,byte_5334E3
0x5334E4,aDataAssetsMain_8
0x53351B,byte_53351B
0x53351C,aDataAssetsMain_9
0x533553,byte_533553
0x533554,aDataAssetsMain_10
0x53358B,byte_53358B
0x53358C,aDataAssetsMain_11
0x5335C3,byte_5335C3
0x5335C4,aDataAssetsMain_12
0x5335FB,byte_5335FB
0x5335FC,aDataAssetsMain_13
0x533633,byte_533633
0x533634,aDataAssetsMain_14
0x53366B,byte_53366B
0x53366C,aDataAssetsMain_15
0x5336A3,byte_5336A3
0x5336A4,aDataAssetsMain_16
0x5336DB,byte_5336DB
0x5336DC,aDataAssetsMain_17
0x533713,unk_533713
0x533718,aDataAssetsMain_18
0x533763,unk_533763
0x533768,aDataAssetsMain_19
0x5337BB,unk_5337BB
0x5337C0,aDataAssetsMain_20
0x53380C,dword_53380C
0x533810,aDataAssetsMain_21
0x533864,dword_533864
0x533868,aDataAssetsMain_22
0x5338B5,unk_5338B5
0x5338B8,aDataAssetsMain_23
0x53390D,unk_53390D
0x533910,aDataAssetsMain_24
0x53395D,unk_53395D
0x533960,aDataAssetsMain_25
0x5339B5,unk_5339B5
0x5339B8,aDataAssetsMain_26
0x533A02,unk_533A02
0x533A08,aDataAssetsMain_27
0x533A5A,unk_533A5A
0x533A60,aDataAssetsMain_28
0x533AA9,unk_533AA9
0x533AB0,aDataAssetsMain_29
0x533B01,unk_533B01
0x533B08,aDataAssetsMain_30
0x533B4E,word_533B4E
0x533B50,aDataAssetsMain_31
0x533B9A,unk_533B9A
0x533BA0,aDataAssetsMain_32
0x533BE8,aDataAssetsMain_33
0x533C31,unk_533C31
0x533C38,aDataAssetsMain_34
0x533C82,unk_533C82
0x533C88,aDataAssetsMain_35
0x533CD2,unk_533CD2
0x533CD8,aDataAssetsMain_36
0x533D20,aDataAssetsMain_37
0x533D6A,unk_533D6A
0x533D70,aDataAssetsMain_38
0x533DB8,aDataAssetsMain_39
0x533DFE,word_533DFE
